Nom,latitude,longitude,code_postal
THOARD,44.147071311,6.124111742,04380
THORAME HAUTE,44.085874335,6.600976874,04170
LES THUILES,44.390247984,6.56117443,04400
UBRAYE,43.90729568,6.686851013,04240
VALAVOIRE,44.279696903,6.075851213,04250
VENTEROL,44.442551074,6.087228236,05130
LE VERNET,44.276508863,6.403266408,04140
VILLEMUS,43.861713149,5.709298401,04110
ANCELLE,44.619107267,6.229122478,05260
ARVIEUX,44.764278425,6.722280206,05350
LA BATIE MONTSALEON,44.455896935,5.749349992,05700
LA BEAUME,44.548432656,5.653934209,05140
CHAMPOLEON,44.74560614,6.272964882,05260
CHATEAUNEUF D OZE,44.505342688,5.898098469,05400
CHATEAUROUX LES ALPES,44.642288128,6.483329998,05380
AUBESSAGNE,44.7447241,6.029953568,05500
GARDE COLOMBE,44.365830958,5.782197824,05300
FOUILLOUSE,44.452823783,6.000215944,05130
LA FREISSINOUSE,44.535312908,6.008660299,05000
LE GLAIZIL,44.747997252,5.974663529,05800
GUILLESTRE,44.667624023,6.700554933,05600
JARJAYES,44.505921111,6.108066359,05130
LETTRET,44.481210056,6.072122714,05130
MONETIER ALLEMONT,44.393288141,5.933518333,05110
LE MONETIER LES BAINS,44.995713709,6.469820034,05220
MONTCLUS,44.414939257,5.669417035,05700
MONTGARDIN,44.543771435,6.233478589,05230
MOYDANS,44.409667918,5.509327059,05150
NOSSAGE ET BENEVENT,44.309821201,5.754356803,05700
LE NOYER,44.699730703,6.000859431,05500
PELLEAUTIER,44.510217516,5.999416634,05000
VAL BUECH MEOUGE,44.248029597,5.822636764,05300
ST ANDRE DE ROSANS,44.364512004,5.521361613,05150
ST CLEMENT SUR DURANCE,44.647524808,6.560668027,05600
LE DEVOLUY,44.684793407,5.890858686,05250
ST JACQUES EN VALGODEMARD,44.774267913,6.069542318,05800
ST JEAN ST NICOLAS,44.674487268,6.230922213,05260
ST MICHEL DE CHAILLOL,44.688638268,6.169674103,05260
ST PIERRE D ARGENCON,44.519845055,5.690310003,05140
SALERANS,44.242095003,5.701180793,05300
LA SAULCE,44.430853864,6.011359017,05110
THEUS,44.485334901,6.196755098,05190
VAL DES PRES,44.950599019,6.666783248,05100
VARS,44.592656172,6.71374133,05560
VEYNES,44.557376774,5.822928594,05400
VILLAR D ARENE,45.000169779,6.364130672,05480
AMIRAT,43.896713676,6.812953852,06910
ANDON,43.776942181,6.82324955,06750
ANTIBES,43.587761948,7.105220285,06160
BEZAUDUN LES ALPES,43.803773081,7.093057164,06510
CARROS,43.784756619,7.184265344,06510
CASTELLAR,43.821768857,7.499043436,06500
CHATEAUNEUF VILLEVIEILLE,43.798767478,7.29491499,06390
CLANS,44.004753796,7.178896018,06420
COARAZE,43.866233195,7.299283018,06390
COLOMARS,43.758646519,7.223380391,06670
COURMES,43.752512486,7.017552151,06620
LA CROIX SUR ROUDOULE,44.000318237,6.870337707,06260
DALUIS,44.038701304,6.799744015,06470
GORBIO,43.78613749,7.444438994,06500
GRASSE,43.655947795,6.931948216,06130
GREOLIERES,43.807349377,6.932138589,06620
LIEUCHE,44.001683889,7.032694512,06260
